Reference	Host_strain	Influenza_virus_name	LD50	LD50_unit	Notes on LD50
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(123578)/lvPR8(46)(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(4)/lvPR8(1235678)(H1N1)	10E4.6	PFU	
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(6)/lvPR8(1234578)(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(46)/lvPR8(123578)(H1N1)	10E4.6	PFU	
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(123)/lvPR8(45678)(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(12346)/lvPR8(578)(H1N1)	10E2.0	PFU	LD50 less than shown
Otte and Gabriel, 2011	C57BL/6	A/SolomonIslands/3/2006(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Otte and Gabriel, 2011	C57BL/6	A/Hamburg/05/2009(H1N1)	10E5.2	PFU	
Otte and Gabriel, 2011	C57BL/6	A/Hamburg/NY1580/2009(H1N1)	10E3.5	PFU	
Otte and Gabriel, 2011	C57BL/6	A/Thailand/KAN-1/2004 (H5N1)	10E1.8	PFU	
Otte et al., 2011	BALB/C	A/SolomonIslands/3/2006(H1N1)	10E6.0	PFU	
Otte et al., 2011	BALB/C	A/Hamburg/05/2009(H1N1)	10E6.0	PFU	
Otte et al., 2011	BALB/C	A/Hamburg/NY1580/2009(H1N1)	10E6.0	PFU	
Otte et al., 2011	BALB/C	A/Thailand/KAN-1/2004 (H5N1)	10E0.3	PFU	
Otte et al., 2011	C57BL/6	A/SolomonIslands/3/2006(H1N1)	10E6.0	PFU	
Otte et al., 2011	C57BL/6	A/Hamburg/05/2009(H1N1)	10E5.2	PFU	
Otte et al., 2011	C57BL/6	A/Hamburg/NY1580/2009(H1N1)	10E3.5	PFU	
Otte et al., 2011	C57BL/6	A/Thailand/KAN-1/2004 (H5N1)	10E1.8	PFU	
Otte et al., 2015	C57BL/6	rA/Hamburg/05/2009(H1N1)	10E5.0	PFU	LD50 more than 10E5.0
Otte et al., 2015	C57BL/6	A/Hamburg/05/2009(H1N1)	10E5.0	PFU	LD50 more than 10E5.0
Otte et al., 2015	C57BL/6	rA/Hamburg/NY1580/2009(H1N1)	10E3.2	PFU	
Otte et al., 2015	C57BL/6	A/Hamburg/NY1580/2009(H1N1)	10E3.5	PFU	
Otte et al., 2015	C57BL/6	rA/HH05(2345678)/HH15(1)(H1N1)	10E5.0	PFU	LD50 more than 10E5.0
Otte et al., 2015	C57BL/6	rA/HH05(1345678)/HH15(3)(H1N1)	10E4.5	PFU	
Otte et al., 2015	C57BL/6	rA/HH05(1234678)/HH15(5)(H1N1)	10E3.2	PFU	
Otte et al., 2015	C57BL/6	rA/HH05(1235678)/HH15(4)(H1N1)	10E3.6	PFU	
Otte et al., 2015	C57BL/6	rA/HH05(1234578)/HH15(6)(H1N1)	10E4.4	PFU	
Otte et al., 2015	C57BL/6	rA/HH05(1234567)/HH15(8)(H1N1)	10E5.0	PFU	LD50 more than 10E5.0
Otte et al., 2015	C57BL/6	rA/HH05(24678)/HH15(135)(H1N1)	10E3.5	PFU	
Otte et al., 2015	C57BL/6	rA/HH05(123578)/HH15(46)(H1N1)	10E3.8	PFU	
Otte et al., 2015	C57BL/6	rA/Hamburg/05/NP100I/2009(H1N1)	10E3.4	PFU	
Otte et al., 2015	C57BL/6	rA/Hamburg/05/NP133L/2009(H1N1)	10E2.9	PFU	
Otte et al., 2015	C57BL/6	rA/Hamburg/05/NP373T/2009(H1N1)	10E3.9	PFU	
Na et al., 2016	C57BL/6	rA/PuertoRico/8/1934(H1N1)	10E3.9	EID50	
Na et al., 2016	C57BL/6	rA/PR8(1234567)/MI63(8)(H1N1)	10E4.3	EID50	
Na et al., 2016	C57BL/6	rA/PR8(1234567)/KYG11(8)(H1N1)	10E7.8	EID50	
Cox et al., 2015	C57BL/6	A/PR8/LAIV/1934(H1N1)	10E4.5	FFU	
Cox et al., 2015	C57BL/6	A/PR8/LAIV/1934(H1N1)	10E4.5	FFU	
Cox et al., 2015	C57BL/6	A/PR8/LAIV/1934(H1N1)	10E4.5	FFU	
Cox et al., 2015	C57BL/6	A/PR8/LAIV/1934(H1N1)	10E4.5	FFU	
Cox et al., 2015	C57BL/6	A/PR8/11C/1934(H1N1)	10E3.0	FFU	less than 10E3.0
Cox et al., 2015	C57BL/6	A/PR8/11C/1934(H1N1)	10E3.0	FFU	less than 10E3.0
Cox et al., 2015	C57BL/6	A/PR8/11C/1934(H1N1)	10E3.0	FFU	less than 10E3.0
Cox et al., 2015	C57BL/6	A/PR8/11C/1934(H1N1)	10E3.0	FFU	less than 10E3.0
Cox et al., 2015	C57BL/6	A/PR8/11C/1934(H1N1)	10E3.0	FFU	less than 10E3.0
Cox et al., 2015	C57BL/6	A/PR8/LAIV11C/1934(H1N1)	10E4.5	FFU	
Cox et al., 2015	C57BL/6	A/PR8/LAIV11C/1934(H1N1)	10E4.5	FFU	
Cox et al., 2015	C57BL/6	A/PR8/LAIV11C/1934(H1N1)	10E4.5	FFU	
Cox et al., 2015	C57BL/6	A/PR8/LAIV11C/1934(H1N1)	10E4.5	FFU	
Cox et al., 2015	C57BL/6	A/PR8/LAIV11C/1934(H1N1)	10E4.5	FFU	
Numberger et al., 2016	C57BL/6	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E3.0	PFU	less than 10E3.0
Numberger et al., 2016	C57BL/6	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E3.0	PFU	less than 10E3.0
Numberger et al., 2016	C57BL/6	A/swan/Germany/R65/2006(H5N1)	10E1.0	PFU	less than 10E1.0; based on Bogs et al., 2011
Zhu et al., 2013	C57BL/6	A/Shanghai/4664T/2013(H7N9)	10E5.6	TCID50	likely less than 10E5.6
Zhu et al., 2013	BALB/C	A/Shanghai/4664T/2013 (H7N9)	10E5.6	TCID50	less than 10E5.6
Zhu et al., 2013	ICR	A/Shanghai/4664T/2013 (H7N9)	10E5.6	TCID50	likely less than 10E5.6
Zhu et al., 2013	ICR	A/Shanghai/4664T/2013 (H7N9)	10E5.6	TCID50	likely more than 10E5.6
Zhu et al., 2013	ICR	A/Shanghai/4664T/2013 (H7N9)	10E5.6	TCID50	likely less than 10E5.6
O'Neill et al., 2000	C57BL/6	A/HongKong/156/1997(H5N1)	10E2.8	EID50	less than 10E2.8
O'Neill et al., 2000	BALB/C	A/HongKong/156/1997(H5N1)	10E4.2	EID50	less than 10E4.2
O'Neill et al., 2000	BALB/C	A/goose/HongKong/437-6/1999(H5N1)	10E4.2	EID50	more than 10E4.2
O'Neill et al., 2000	BALB/C	A/HongKong/1073/99(H9N2)	10E4.2	EID50	more than 10E4.2
O'Neill et al., 2000	BALB/C	R102 = rA/GSHK437(12345678)(H5N1)	10E4.2	EID50	more than 10E4.2
O'Neill et al., 2000	BALB/C	R103 = rA/HK1073(15)/GSHK437(234678)(H5N1)	10E4.2	EID50	less than 10E4.2
O'Neill et al., 2000	BALB/C	R105 = rA/HK1073(12345678)(H9N2)	10E4.2	EID50	more than 10E4.2
O'Neill et al., 2000	BALB/C	A/quail/HongKong/G1/1997(H9N2)			
Blazejewska et al., 2011	C57BL/6	A/PR8M/1934(H1N1)	10E3.3	PFU	more than 10E3.3
Blazejewska et al., 2011	C57BL/6	A/PR8F/1934(H1N1)	10E3.3	PFU	less than 10E3.3
Blazejewska et al., 2011	C57BL/6	A/hvPR8/1934(H1N1)	10E3.3	PFU	less than 10E3.3
Blazejewska et al., 2011	C57BL/6	A/PR8M/1934(H1N1)	10E3.3	PFU	more than 10E3.3
Blazejewska et al., 2011	C57BL/6	A/PR8F/1934(H1N1)	10E3.3	PFU	less than 10E3.3
Blazejewska et al., 2011	C57BL/6	rA/PR8M(1235678)/PR8F(4)(H1N1)	10E3.3	PFU	less than 10E3.3
Blazejewska et al., 2011	DBA/2	A/PR8M/1934(H1N1)	10E3.3	PFU	less than 10E3.3
Blazejewska et al., 2011	DBA/2	A/PR8F/1934(H1N1)	10E3.3	PFU	less than 10E3.3
Blazejewska et al., 2011	DBA/2	A/hvPR8/1934(H1N1)	10E3.3	PFU	less than 10E3.3
Zhu et al., 2016	C57BL/6	A/Hunan/42443/2015(H1N1)	10E4.5	TCID50	
Zhu et al., 2016	C57BL/6	A/Jiangsu/1/2011(H1N1)	10E6.5	TCID50	LD50 more than shown
Tate et al, 2011a	C57BL/6	A/PuertoRico/8/1934(H1N1)	10E5.0	PFU	less than 10E5.0
Tate et al, 2011a	C57BL/6	rA/X-31(H3N2)	10E5.0	PFU	more than 10E5.0
Tate et al, 2011a	C57BL/6	rA/BJ89(123578)/PR8(46)(H1N1)	10E5.0	PFU	more than 10E5.0
Tate et al, 2011b	C57BL/6	A/PuertoRico/8/1934/MountSinai(H1N1)	10E5.0	PFU	less than 10E5.0
Tate et al, 2011b	C57BL/6	A/Brazil/11/1978(H1N1)	10E5.0	PFU	more than 10E5.0
Tate et al, 2011b	C57BL/6	rA/PR8vMountSinai(1235678)/BRAZ78(4)(H1N1)	10E5.0	PFU	more than 10E5.0
Hatesuer et al., 2013	C57BL/6	A/PR8M/1934(H1N1)	10E3.3	FFU	likely less than 10E3.3
Hatesuer et al., 2013	C57BL/6	A/Hamburg/4/2009(H1N1) HA4 (pH1N1)	10E3.3	FFU	likely less than 10E3.3
Hatesuer et al., 2013	C57BL/6	A/PR8F/1934(H1N1)	10E3.3	FFU	less than 10E3.3
Hatesuer et al., 2013	C57BL/6	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	more than but close to 10E1.0
Hatesuer et al., 2013	C57BL/6	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E4.3	FFU	less than 10E4.3
Mifsud et al., 2015	C57BL/6	A/Memphis/1/1971(H3N2)	10E4.5	PFU	more than 10E4.5
Mifsud et al., 2015	C57BL/6	A/Bellamy/1942(H1N1)	10E4.5	PFU	
Metreveli PhD Thesis, 2014	C57BL/6	rA/swine/Sweden/1021/2009(H1N2)	10E4.9	PFU	
Metreveli PhD Thesis, 2014	C57BL/6	rA/swine/Sweden/9706/2010(H1N2)	10E6.1	PFU	
Metreveli PhD Thesis, 2014	C57BL/6	rA/SWE1021(1345678)/SWE9706(2)(H1N2)	10E4.0	PFU	more than 10E6.0
Metreveli PhD Thesis, 2014	C57BL/6	rA/SWE1021(1345678)/SWE9706(2)(H1N2)	10E5.0	PFU	more than 10E6.0
Metreveli PhD Thesis, 2014	C57BL/6	rA/SWE1021(1345678)/SWE9706(2)(H1N2)	10E6.0	PFU	more than 10E6.0
Metreveli PhD Thesis, 2014	C57BL/6	rA/SWE1021(2)/SWE9706(1345678)(H1N2)	10E4.0	PFU	likely more than 10E5.0 but less than 10E6.0
Metreveli PhD Thesis, 2014	C57BL/6	rA/SWE1021(2)/SWE9706(1345678)(H1N2)	10E5.0	PFU	likely more than 10E5.0 but less than 10E6.0
Metreveli PhD Thesis, 2014	C57BL/6	rA/SWE1021(2)/SWE9706(1345678)(H1N2)	10E6.0	PFU	likely more than 10E5.0 but less than 10E6.0
Leist et al., 2016	C57BL/6	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	C57BL/6	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	C57BL/6	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	C57BL/6	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	A/J	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	A/J	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	A/J	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	A/J	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	129S1/SvImJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	129S1/SvImJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	129S1/SvImJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	129S1/SvImJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	NOD/ShiLtJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	more than but close to 10E1.0
Leist et al., 2016	NOD/ShiLtJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	more than but close to 10E1.0
Leist et al., 2016	NOD/ShiLtJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	more than but close to 10E1.0
Leist et al., 2016	NOD/ShiLtJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	more than but close to 10E1.0
Leist et al., 2016	NZO/HILtJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	more than 10E5.0
Leist et al., 2016	NZO/HILtJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	more than 10E5.0
Leist et al., 2016	NZO/HILtJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	more than 10E5.0
Leist et al., 2016	NZO/HILtJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	more than 10E5.0
Leist et al., 2016	NZO/HILtJ	maA/HongKong/1/1968(H3N2)	10E5.0	FFU	more than 10E5.0
Leist et al., 2016	NZO/HILtJ	maA/HongKong/1/1968(H3N2)	10E5.0	FFU	more than 10E5.0
Leist et al., 2016	CAST/EiJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	CAST/EiJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	CAST/EiJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	CAST/EiJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	PWK/PhJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	more than 10E5.0
Leist et al., 2016	PWK/PhJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	more than 10E5.0
Leist et al., 2016	PWK/PhJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	more than 10E5.0
Leist et al., 2016	PWK/PhJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	more than 10E5.0
Leist et al., 2016	PWK/PhJ	maA/HongKong/1/1968(H3N2)	10E5.0	FFU	more than 10E5.0
Leist et al., 2016	PWK/PhJ	maA/HongKong/1/1968(H3N2)	10E5.0	FFU	more than 10E5.0
Leist et al., 2016	WSB/EiJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	WSB/EiJ	maA/HongKong/1/1968(H3N2)	10E1.0	FFU	less than 10E1.0
Leist et al., 2016	WSB/EiJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Leist et al., 2016	WSB/EiJ	maA/HongKong/1/1968(H3N2)	10E3.3	FFU	less than 10E1.0
Choi et al., 2016	C57BL/6	A/mallard/Korea/W452/2014(H5N8)	10E2.5	PFU	more than 10E2.5
Choi et al., 2016	C57BL/6	A/ma452-G1-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	C57BL/6	A/ma452-G3-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	C57BL/6	A/ma452-G3-2/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	C57BL/6	A/ma452-G4-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	C57BL/6	A/environment/Korea/W468/2014(H5N8)	10E2.5	PFU	more than 10E2.5
Choi et al., 2016	C57BL/6	A/ma468-G1-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	C57BL/6	A/ma468-G1-2/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	C57BL/6	A/ma468-G2-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	C57BL/6	A/ma468-G2-2/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	C57BL/6	A/ma468-G2-3/2014(H5N8)	10E2.5	PFU	more than 10E2.5
Choi et al., 2016	C57BL/6	A/ma468-G4-2/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	BALB/C	A/mallard/Korea/W452/2014(H5N8)	10E2.5	PFU	more than 10E2.5
Choi et al., 2016	BALB/C	A/ma452-G1-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	BALB/C	A/ma452-G3-1/2014(H5N8)	10E2.5	PFU	strange pattern
Choi et al., 2016	BALB/C	A/ma452-G3-2/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	BALB/C	A/ma452-G4-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	BALB/C	A/environment/Korea/W468/2014(H5N8)	10E2.5	PFU	more than 10E2.5
Choi et al., 2016	BALB/C	A/ma468-G1-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	BALB/C	A/ma468-G1-2/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	BALB/C	A/ma468-G2-1/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	BALB/C	A/ma468-G2-2/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Choi et al., 2016	BALB/C	A/ma468-G2-3/2014(H5N8)	10E2.5	PFU	more than 10E2.5
Choi et al., 2016	BALB/C	A/ma468-G4-2/2014(H5N8)	10E2.5	PFU	less than 10E2.5
Bodewes et al., 2010	C57BL/6	rA/PR8(1234678)/NL94(5)(H1N1)	10E3.0	TCID50	more than 10E3.0
Bodewes et al., 2010	C57BL/6	rA/PR8(1234678)/NL94(5)/G384R(H1N1)	10E3.0	TCID50	may more than 10E3.0
Srivastava et al., 2009	C57BL/6	A/PuertoRico/8/1934(H1N1)	10E5.3	FFU	
Srivastava et al., 2009	C57BL/6	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E3.3	FFU	more than 10E4.3 but less than 10E3.3
Srivastava et al., 2009	C57BL/6	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E4.3	FFU	more than 10E4.3 but less than 10E3.3
Srivastava et al., 2009	C57BL/6	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E5.3	FFU	more than 10E4.3 but less than 10E3.3
Srivastava et al., 2009	BALB/CByJ	A/PuertoRico/8/1934(H1N1)	10E3.3	FFU	more than 10E3.3
Srivastava et al., 2009	FVB/NJ	A/PuertoRico/8/1934(H1N1)	10E3.3	FFU	more than 10E3.3
Srivastava et al., 2009	A/J	A/PuertoRico/8/1934(H1N1)	10E3.3	FFU	less than 10E3.3
Srivastava et al., 2009	CBA/J	A/PuertoRico/8/1934(H1N1)	10E3.3	FFU	more than 10E3.3
Srivastava et al., 2009	SJL/JOrlCrl	A/PuertoRico/8/1934(H1N1)	10E3.3	FFU	more than 10E3.3
Srivastava et al., 2009	DBA/2J	A/PuertoRico/8/1934(H1N1)	10E1.56	FFU	
Srivastava et al., 2009	DBA/2J	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E3.3	FFU	less than 10E3.3
Srivastava et al., 2009	DBA/2J	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E4.3	FFU	less than 10E3.3
Srivastava et al., 2009	DBA/2J	A/seal/Massachussetts/1-SC35M/1980(H7N7)	10E5.3	FFU	less than 10E3.3
Liedmann et al., 2014	C57BL/6	A/PuertoRico/8/1934(H1N1)	10E3.0	PFU	less than 10E3.0
Liedmann et al., 2014	C57BL/6	A/PR8/Mutant(H1N1)	10E3.0	PFU	more than 10E3.0
Liedmann et al., 2014	C57BL/6 IFNAR-/-	A/PuertoRico/8/1934(H1N1)	10E3.0	PFU	less than 10E3.0
Liedmann et al., 2014	C57BL/6 IFNAR-/-	A/PR8/Mutant(H1N1)	10E3.0	PFU	less than 10E3.0
Liedmann et al., 2014	BALB/C	A/PuertoRico/8/1934(H1N1)	10E2.5	PFU	less than 10E2.5
Liedmann et al., 2014	BALB/C	A/PR8/Mutant(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	BALB/C	rA/PR8(2345678)/PR8M(1)(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	BALB/C	rA/PR8(1345678)/PR8M(2)(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	BALB/C	rA/PR8(1245678)/PR8M(3)(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	BALB/C	rA/PR8(1235678)/PR8M(4)(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	BALB/C	rA/PR8(1234678)/PR8M(5)(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	BALB/C	rA/PR8(1234578)/PR8M(6)(H1N1)	10E2.5	PFU	less than 10E2.5
